"term","package","description","title"
"lag","dplyr","Shift values in a vector or time series","New Functions in Week 7"
"xlim","ggplot2","A shortcut to set the limits of the x-axis in a ggplot",""
"rbind","base","Combine R objects by rows",""
"grid.arrange","gridExtra","Places graphical objects into a rectangular grid",""
"unlist","base","Flattens a list into a vector by extracting all its elements",""
"roc","pRoc","Create a Receiver Operating Characteristic (ROC) curve",""
"auc","pRoc","Returns the area under the curve",""
"as.numeric","base","Coerce a vector to numeric",""
"attr","base","Access or modify the attributes of an object",""
"regTermTest","regress","Perform statistical tests for individual regression coefficients",""
