"term","package","description","title"
"setwd","base","Set Working Directory","All Functions of Week 5"
"library","base","Load an R package",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"summary","base","Obtain summary statistics or detailed regression output",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"lm","stats","Fit linear models using least squares",""
"glm","base","Fits generalized linear models",""
"binomial","base","Family argument in glm()",""
"data.frame","base","Create a data.frame from vectors",""
"min","base","Get minimum of a vector",""
"predict","stats","Generate predicted values from model objects",""
"max","base","Get maximum of a vector",""
