"term","package","description","title"
"invisible",NA,NA,"All Functions of Week 8"
"capture.output",NA,NA,""
"png",NA,NA,""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"plot","graphics","Generic function from base R to produce a plot",""
"c","base","Combine values/vectors into a vector",""
"expression","base","Used in plots to add symbols to axes",""
"dev.off",NA,NA,""
"par","graphics","Set parameters of the plotting device",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"colnames","base","Retrieve column names of a data frame",""
"gsub",NA,NA,""
"library","base","Load an R package",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"setwd","base","Set Working Directory",""
"read_dta","haven","Read a .dta file (Stata data)",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"desc","dplyr","Arrange in descending order",""
"factor","base","Create a factor",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode","dplyr","Recode a variable",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"ifelse","base","Return a or b depending on the value of test",""
"mean","base","Get mean of a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"data.frame","base","Create a data.frame from vectors",""
"separate","dplyr","Separate a character column into multiple columns",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"select","dplyr","Select columns from a tibble/data frame",""
"slice","dplyr","Subset rows using their positions",""
"n","dplyr","The number of observations in the current group.",""
"spread","tidyr","Spread a key-value pair across multiple columns",""
"summarize",NA,NA,""
"sum","base","Get sum of numeric values or a vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"write.csv","utils","write a csv file to a data frame",""
"write_dta",NA,NA,""
"save","base","Writes an external representation of R objects to the specified file.",""
