"term","package","description","title"
"library","base","Load an R package","All Functions of Week 9"
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"list","base","Create a list object",""
"lm","base","Fit a linear model",""
"c","base","Combine values/vectors into a vector",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"setwd","base","Set Working Directory",""
"names","base","Retrieve names of a list/vector",""
"levels","base","Get levels of a factor ",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"summary","base","Obtain summary statistics or detailed regression output",""
"droplevels","base","Drop Unused Levels from Factors",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"as.numeric","base","Coerce a vector to numeric",""
"ifelse","base","Return a or b depending on the value of test",""
"is.element","base","Check if a value is element of a vector",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode","dplyr","Recode a variable",""
"prop.table","base","Transform frequency table into table of proportions",""
"relevel","stats","Reorder Levels of Factor",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"with","base","evaluate expression in the context of a data frame",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"log","base","log (default base = e)",""
